"MonitoringLocationIdentifier","Date","BeneficialUse","CharacteristicName","ResultMeasure.MeasureUnitCode","NumericCriterion","DailyResultMeasureValue","Exceeds","Season","Rec_Season","Irg_Season","FlowUnit","DailyFlowValue","Flow_Percentile","Observed_Loading","TMDL"
"UTAHDWQ_WQX-4994090",2009-05-27,"2B","Escherichia coli","MPN/100ml",206,313.88719311243,1,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2009-05-27,"2B","Escherichia coli","MPN/100ml",668,313.88719311243,0,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2009-06-23,"2B","Escherichia coli","MPN/100ml",206,197.541894290806,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2009-06-23,"2B","Escherichia coli","MPN/100ml",668,197.541894290806,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2009-07-14,"2B","Escherichia coli","MPN/100ml",668,686.7,1,"Summer","rec","irrigation","ft3/sec",180.42,30.2631578947368,3031165423016.01,2948621672600.4
"UTAHDWQ_WQX-4994090",2009-07-14,"2B","Escherichia coli","MPN/100ml",206,686.7,1,"Summer","rec","irrigation","ft3/sec",180.42,30.2631578947368,3031165423016.01,909305485861.8
"UTAHDWQ_WQX-4994090",2010-05-04,"2B","Escherichia coli","MPN/100ml",206,18,0,"Spring","rec","not irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-05-04,"2B","Escherichia coli","MPN/100ml",668,18,0,"Spring","rec","not irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-06-08,"2B","Escherichia coli","MPN/100ml",206,461,1,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-06-08,"2B","Escherichia coli","MPN/100ml",668,461,0,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-06-23,"2B","Escherichia coli","MPN/100ml",206,198.9,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-06-23,"2B","Escherichia coli","MPN/100ml",668,198.9,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-08-11,"2B","Escherichia coli","MPN/100ml",206,461.1,1,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2010-08-11,"2B","Escherichia coli","MPN/100ml",668,461.1,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-05-25,"2B","Escherichia coli","MPN/100ml",206,121,0,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-05-25,"2B","Escherichia coli","MPN/100ml",668,121,0,"Spring","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-07-20,"2B","Escherichia coli","MPN/100ml",206,326,1,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-07-20,"2B","Escherichia coli","MPN/100ml",668,326,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-09-01,"2B","Escherichia coli","MPN/100ml",206,179,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-09-01,"2B","Escherichia coli","MPN/100ml",668,179,0,"Summer","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-09-28,"2B","Escherichia coli","MPN/100ml",206,184,0,"Fall","rec","irrigation",NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994090",2011-09-28,"2B","Escherichia coli","MPN/100ml",668,184,0,"Fall","rec","irrigation",NA,NA,NA,NA,NA
